colour	x	y	showSelected1
#F8766D	1	5.42862704040283	A
#F8766D	2	5.04558477659373	A
#F8766D	3	4.77717602392699	A
#F8766D	4	4.93470129535912	A
#F8766D	5	5.06866394016284	A
#F8766D	6	4.61998675633654	A
#F8766D	7	4.42546705737369	A
#F8766D	8	4.52907661082703	A
#F8766D	9	4.7747065389316	A
#F8766D	10	4.92520907113865	A
#00BA38	1	9.47228330172678	B
#00BA38	2	9.43878452034724	B
#00BA38	3	9.76759404309011	B
#00BA38	4	10.2268271960136	B
#00BA38	5	9.84077902658166	B
#00BA38	6	9.69755934830838	B
#00BA38	7	9.45878208678029	B
#00BA38	8	9.7396212830876	B
#00BA38	9	9.90442526825411	B
#00BA38	10	9.51472689820767	B
#619CFF	1	14.9439795272099	C
#619CFF	2	14.7269285381291	C
#619CFF	3	14.1302952408718	C
#619CFF	4	15.0056381726625	C
#619CFF	5	15.2281881335072	C
#619CFF	6	15.3835909311275	C
#619CFF	7	14.5242931860266	C
#619CFF	8	14.8822042849212	C
#619CFF	9	15.1177526670643	C
#619CFF	10	14.0951390050169	C
